Frame, Millseconds, Label, X1, X2, Y1, Y2
102.0,3.4,person 0,410,497,162,369
102.0,3.4,person 1,822,895,86,251
102.0,3.4,sports ball 2,523,555,320,349
103.0,3.4333333333333336,person 0,414,502,163,369
103.0,3.4333333333333336,person 1,821,894,88,252
103.0,3.4333333333333336,sports ball 2,529,560,323,350
104.0,3.4666666666666663,person 0,415,506,164,370
104.0,3.4666666666666663,person 1,815,892,86,251
104.0,3.4666666666666663,sports ball 2,530,562,323,350
105.0,3.5,person 0,416,510,164,371
105.0,3.5,person 1,817,889,86,252
105.0,3.5,sports ball 2,532,564,322,348
106.0,3.5333333333333337,person 0,414,512,164,371
106.0,3.5333333333333337,person 1,819,888,88,254
106.0,3.5333333333333337,sports ball 2,535,566,320,348
107.0,3.5666666666666664,person 0,414,512,164,369
107.0,3.5666666666666664,person 1,820,885,91,255
107.0,3.5666666666666664,sports ball 2,539,568,320,348
108.0,3.6,person 0,416,506,169,368
108.0,3.6,person 1,823,884,92,257
108.0,3.6,sports ball 2,544,573,323,349
109.0,3.6333333333333333,person 0,417,502,170,364
109.0,3.6333333333333333,person 1,824,884,93,258
109.0,3.6333333333333333,sports ball 2,547,576,327,351
110.0,3.6666666666666665,person 0,419,504,171,362
110.0,3.6666666666666665,person 1,824,883,94,257
110.0,3.6666666666666665,sports ball 2,550,579,326,352
111.0,3.7,person 0,826,882,93,257
111.0,3.7,person 1,423,504,173,362
111.0,3.7,sports ball 2,550,582,324,351
112.0,3.7333333333333334,person 0,430,509,171,364
112.0,3.7333333333333334,person 1,825,881,94,257
112.0,3.7333333333333334,sports ball 2,553,583,323,351
113.0,3.7666666666666666,person 0,442,517,170,362
113.0,3.7666666666666666,person 1,825,881,93,256
113.0,3.7666666666666666,sports ball 2,556,587,322,350
114.0,3.8,person 0,825,881,94,258
114.0,3.8,person 1,454,527,170,362
114.0,3.8,sports ball 2,558,590,322,349
115.0,3.8333333333333335,person 0,462,530,166,360
115.0,3.8333333333333335,person 1,825,880,92,258
115.0,3.8333333333333335,sports ball 2,561,591,322,349
116.0,3.8666666666666667,person 0,470,532,164,362
116.0,3.8666666666666667,person 1,824,881,93,258
116.0,3.8666666666666667,sports ball 2,563,594,323,349
117.0,3.9,person 0,473,537,162,359
117.0,3.9,person 1,824,881,92,258
117.0,3.9,sports ball 2,566,596,321,349
118.0,3.9333333333333336,person 0,477,540,163,357
118.0,3.9333333333333336,person 1,823,882,91,257
118.0,3.9333333333333336,sports ball 2,570,599,319,348
119.0,3.9666666666666663,person 0,479,546,165,357
119.0,3.9666666666666663,person 1,822,882,89,256
119.0,3.9666666666666663,sports ball 2,572,603,318,347
120.0,4.0,person 0,481,556,163,354
120.0,4.0,person 1,822,882,87,255
120.0,4.0,sports ball 2,574,604,316,344
121.0,4.033333333333333,person 0,483,564,160,354
121.0,4.033333333333333,person 1,821,883,87,252
121.0,4.033333333333333,sports ball 2,577,608,314,343
122.0,4.066666666666666,person 0,486,564,163,352
122.0,4.066666666666666,person 1,820,882,86,250
122.0,4.066666666666666,sports ball 2,579,609,315,343
123.0,4.1,person 0,489,563,164,352
123.0,4.1,person 1,819,882,86,249
123.0,4.1,sports ball 2,581,611,315,341
124.0,4.133333333333333,person 0,496,565,163,349
124.0,4.133333333333333,person 1,819,883,85,250
124.0,4.133333333333333,sports ball 2,581,612,314,342
125.0,4.166666666666667,person 0,820,882,84,250
125.0,4.166666666666667,person 1,502,565,162,349
125.0,4.166666666666667,sports ball 2,581,611,314,343
126.0,4.2,person 0,820,881,85,250
126.0,4.2,person 1,511,564,159,344
126.0,4.2,sports ball 2,582,612,314,344
127.0,4.233333333333333,person 0,820,881,86,250
127.0,4.233333333333333,person 1,521,566,157,343
127.0,4.233333333333333,sports ball 2,581,612,313,342
128.0,4.266666666666667,person 0,820,881,84,250
128.0,4.266666666666667,person 1,521,571,156,346
128.0,4.266666666666667,sports ball 2,581,611,312,341
129.0,4.3,person 0,819,880,85,249
129.0,4.3,person 1,517,576,153,342
129.0,4.3,sports ball 2,580,610,311,341
130.0,4.333333333333333,person 0,515,590,153,343
130.0,4.333333333333333,person 1,818,879,83,248
130.0,4.333333333333333,sports ball 2,580,608,307,337
131.0,4.366666666666667,person 0,512,602,148,340
131.0,4.366666666666667,person 1,817,875,82,246
131.0,4.366666666666667,sports ball 2,578,607,309,338
132.0,4.4,person 0,511,604,148,336
132.0,4.4,person 1,814,872,81,247
132.0,4.4,sports ball 2,583,609,307,333
133.0,4.433333333333333,person 0,508,605,148,333
133.0,4.433333333333333,person 1,811,871,78,246
133.0,4.433333333333333,sports ball 2,587,615,301,329
134.0,4.466666666666667,person 0,510,611,152,331
134.0,4.466666666666667,person 1,807,869,79,243
134.0,4.466666666666667,sports ball 2,584,620,297,327
135.0,4.5,person 0,513,601,147,327
135.0,4.5,person 1,806,867,77,242
135.0,4.5,sports ball 2,599,622,296,323
136.0,4.533333333333333,person 0,514,601,146,326
136.0,4.533333333333333,person 1,803,863,76,239
136.0,4.533333333333333,sports ball 2,599,626,290,318
137.0,4.566666666666667,person 0,515,600,146,326
137.0,4.566666666666667,person 1,802,860,74,240
137.0,4.566666666666667,sports ball 2,602,630,288,314
138.0,4.6,person 0,517,588,144,326
138.0,4.6,person 1,800,859,75,242
138.0,4.6,sports ball 2,606,635,285,310
139.0,4.633333333333333,person 0,799,859,76,243
139.0,4.633333333333333,person 1,517,583,144,328
139.0,4.633333333333333,sports ball 2,610,640,285,309
140.0,4.666666666666667,person 0,797,859,77,242
140.0,4.666666666666667,person 1,520,582,142,329
140.0,4.666666666666667,sports ball 2,616,643,285,306
141.0,4.7,person 0,521,584,143,328
141.0,4.7,person 1,796,859,77,243
141.0,4.7,sports ball 2,618,645,285,307
142.0,4.733333333333333,person 0,793,856,79,242
142.0,4.733333333333333,person 1,525,583,141,328
142.0,4.733333333333333,sports ball 2,620,647,286,308
143.0,4.766666666666667,person 0,792,854,77,242
143.0,4.766666666666667,person 1,528,584,143,327
143.0,4.766666666666667,sports ball 2,621,649,284,308
144.0,4.8,person 0,791,854,77,242
144.0,4.8,person 1,530,590,144,325
144.0,4.8,sports ball 2,626,652,282,308
145.0,4.833333333333333,person 0,535,598,143,322
145.0,4.833333333333333,person 1,790,853,77,243
145.0,4.833333333333333,sports ball 2,627,656,276,301
146.0,4.866666666666667,person 0,537,611,140,322
146.0,4.866666666666667,person 1,789,853,78,242
146.0,4.866666666666667,sports ball 2,630,657,277,301
147.0,4.9,person 0,539,613,139,322
147.0,4.9,person 1,789,853,76,242
147.0,4.9,sports ball 2,631,658,273,296
148.0,4.933333333333333,person 0,543,613,139,319
148.0,4.933333333333333,person 1,788,852,78,240
148.0,4.933333333333333,sports ball 2,634,660,273,299
149.0,4.966666666666667,person 0,547,610,140,320
149.0,4.966666666666667,person 1,787,851,80,241
149.0,4.966666666666667,sports ball 2,637,662,275,299
150.0,5.0,person 0,546,607,143,321
150.0,5.0,person 1,788,850,81,242
150.0,5.0,sports ball 2,640,664,276,299
151.0,5.033333333333333,person 0,542,612,144,320
151.0,5.033333333333333,person 1,788,849,82,242
151.0,5.033333333333333,sports ball 2,643,669,274,299
152.0,5.066666666666667,person 0,543,616,139,318
152.0,5.066666666666667,person 1,787,849,83,242
152.0,5.066666666666667,sports ball 2,644,671,272,295
153.0,5.1,person 0,545,623,143,317
153.0,5.1,person 1,787,848,85,242
153.0,5.1,sports ball 2,646,672,272,295
154.0,5.133333333333333,person 0,549,632,143,316
154.0,5.133333333333333,person 1,785,848,85,242
154.0,5.133333333333333,sports ball 2,648,675,270,294
155.0,5.166666666666667,person 0,549,632,144,314
155.0,5.166666666666667,person 1,784,847,86,241
155.0,5.166666666666667,sports ball 2,650,678,268,291
156.0,5.2,person 0,783,847,85,240
156.0,5.2,person 1,549,634,143,313
156.0,5.2,sports ball 2,653,678,266,291
157.0,5.233333333333333,person 0,782,848,86,238
157.0,5.233333333333333,person 1,555,637,141,310
157.0,5.233333333333333,sports ball 2,654,679,265,286
158.0,5.266666666666667,person 0,780,847,84,237
158.0,5.266666666666667,person 1,573,640,143,307
158.0,5.266666666666667,sports ball 2,656,680,265,286
159.0,5.3,person 0,777,846,85,236
159.0,5.3,person 1,569,644,137,306
159.0,5.3,sports ball 2,655,680,264,285
160.0,5.333333333333333,person 0,775,845,86,238
160.0,5.333333333333333,person 1,583,657,133,302
160.0,5.333333333333333,sports ball 2,660,684,260,284
161.0,5.366666666666667,person 0,774,844,87,238
161.0,5.366666666666667,person 1,588,658,128,304
161.0,5.366666666666667,sports ball 2,662,686,260,283
162.0,5.4,person 0,772,843,89,234
162.0,5.4,person 1,587,660,124,298
162.0,5.4,sports ball 2,663,687,259,283
163.0,5.433333333333333,person 0,585,661,125,293
163.0,5.433333333333333,person 1,771,842,91,234
163.0,5.433333333333333,sports ball 2,665,689,258,282
164.0,5.466666666666667,person 0,581,664,129,284
164.0,5.466666666666667,person 1,771,840,92,237
164.0,5.466666666666667,sports ball 2,664,689,259,283
165.0,5.5,person 0,582,665,132,280
165.0,5.5,person 1,768,837,94,239
165.0,5.5,sports ball 2,666,689,259,280
166.0,5.533333333333333,person 0,586,668,135,279
166.0,5.533333333333333,person 1,767,836,94,239
166.0,5.533333333333333,sports ball 2,667,691,258,282
167.0,5.566666666666667,person 0,764,834,93,238
167.0,5.566666666666667,person 1,604,670,137,285
167.0,5.566666666666667,sports ball 2,667,692,258,282
168.0,5.6,person 0,764,832,94,238
168.0,5.6,person 1,614,676,138,282
168.0,5.6,sports ball 2,668,693,256,282
169.0,5.633333333333333,person 0,760,829,95,239
169.0,5.633333333333333,person 1,619,683,136,289
169.0,5.633333333333333,sports ball 2,672,693,255,278
170.0,5.666666666666667,person 0,762,830,95,236
170.0,5.666666666666667,person 1,633,684,136,283
170.0,5.666666666666667,sports ball 2,672,702,243,277
171.0,5.7,person 0,761,827,94,239
171.0,5.7,person 1,635,690,136,282
171.0,5.7,sports ball 2,688,716,221,253
172.0,5.733333333333333,person 0,633,705,136,282
172.0,5.733333333333333,person 1,761,827,94,237
172.0,5.733333333333333,sports ball 2,704,730,204,230
173.0,5.766666666666667,person 0,632,701,138,281
173.0,5.766666666666667,person 1,758,824,93,241
173.0,5.766666666666667,sports ball 2,714,742,189,214
174.0,5.8,person 0,625,701,142,285
174.0,5.8,person 1,757,822,97,240
174.0,5.8,sports ball 2,727,756,172,197
175.0,5.833333333333333,person 0,619,704,144,283
175.0,5.833333333333333,person 1,753,821,97,237
175.0,5.833333333333333,frisbee 2,738,763,158,183
176.0,5.866666666666667,person 0,613,703,143,281
176.0,5.866666666666667,person 1,751,816,95,237
177.0,5.9,person 0,605,698,143,276
177.0,5.9,person 1,748,813,94,237
178.0,5.933333333333333,person 0,597,691,142,279
178.0,5.933333333333333,person 1,744,809,94,239
179.0,5.966666666666667,person 0,590,687,145,284
179.0,5.966666666666667,person 1,739,806,90,240
180.0,6.0,person 0,736,801,90,245
180.0,6.0,person 1,583,682,149,279
181.0,6.033333333333333,person 0,732,797,85,244
181.0,6.033333333333333,person 1,585,679,155,286
182.0,6.066666666666667,person 0,729,790,87,245
182.0,6.066666666666667,person 1,584,675,154,284
183.0,6.1,person 0,726,785,86,246
183.0,6.1,person 1,591,678,152,288
183.0,6.1,sports ball 2,779,798,160,178
